자치구,정류장이름,ARS,가격_원,가격기준,가격_양면,가격_4면,상품유형,지원포맷,운영시간,야간조명,혼잡도,상세URL,수집일시,면수,가격_원per면
강서구,이대서울병원 [16388],16388,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/1064,2026-05-31,2.0,901600.0
강서구,발산역7번출구 [16393],16393,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/1847,2026-05-31,2.0,578200.0
강서구,신방화역5번출구 [16394],16394,940800,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1065,2026-05-31,2.0,470400.0
강서구,마곡엠밸리6.7단지.마곡중학교 [16395],16395,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2759,2026-05-31,2.0,662970.0
강서구,마곡나루역 [16396],16396,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1066,2026-05-31,2.0,901600.0
강서구,마곡역 [16397],16397,2234400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/930,2026-05-31,2.0,1117200.0
강서구,마곡나루역1번출구 [16399],16399,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1067,2026-05-31,2.0,901600.0
강서구,마곡동로사거리 [16400],16400,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/1068,2026-05-31,2.0,901600.0
강서구,한국공항공사 [16410],16410,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1849,2026-05-31,2.0,578200.0
강서구,마곡수명산파크7단지 [16416],16416,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1851,2026-05-31,2.0,578200.0
강서구,마곡수명산파크5단지6단지 [16417],16417,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1853,2026-05-31,2.0,578200.0
