ARS,자치구,정류장이름,공시지가_원per㎡,PNU,지번,공시지가_주소,공시연도
11146,중랑구,태릉국제사격장 [11146],485900.0,1135010300202300025,산230-25임,서울특별시 노원구 공릉동 산 230-25,2025
11148,중랑구,태릉 [11148],656000.0,1135010300100250005,25-5잡,서울특별시 노원구 공릉동 25-5,2025
11149,중랑구,태릉 [11149],61900.0,1135010300202230019,산223-19임,서울특별시 노원구 공릉동 산 223-19,2025
11150,중랑구,태릉선수촌 [11150],165000.0,1135010300100250063,25-63 철,서울특별시 노원구 공릉동 25-63,2025
11151,중랑구,태릉선수촌 [11151],165000.0,1135010300100250064,25-64 도,서울특별시 노원구 공릉동 25-64,2025
11153,중랑구,한국스포츠정책과학원 [11153],165000.0,1135010300100250064,25-64 도,서울특별시 노원구 공릉동 25-64,2025
11154,중랑구,삼육대앞 [11154],165000.0,1135010300100260043,26-43도,서울특별시 노원구 공릉동 26-43,2025
11158,중랑구,예수사랑교회 [11158],1353000.0,1135010300100950000,95도,서울특별시 노원구 공릉동 95,2025
11159,노원구,서울과학기술대입구 [11159],1045000.0,1135010300103630001,363-1도,서울특별시 노원구 공릉동 363-1,2025
11161,중랑구,공릉역1번출구 [11161],6955000.0,1135010300103750004,375-4대,서울특별시 노원구 공릉동 375-4,2025
11162,중랑구,공릉역4번출구 [11162],1045000.0,1135010300103780002,378-2도,서울특별시 노원구 공릉동 378-2,2025
11165,중랑구,공릉대동2차아파트 [11165],1037000.0,1135010300103180003,318-3도,서울특별시 노원구 공릉동 318-3,2025
11166,노원구,노원문화원 [11166],3815000.0,1135010300107480000,748 대,서울특별시 노원구 공릉동 748,2025
11167,노원구,노원문화원 [11167],1045000.0,1135010300107150002,715-2도,서울특별시 노원구 공릉동 715-2,2025
