ARS,자치구,정류장이름,승차_일평균,하차_일평균,승하차_일평균,경유노선수
21126,관악구,남서울농협남현동지점 [21126],1493.9,1552.8,3046.8,11.0
21127,관악구,서울대학교 [21127],424.9,548.1,973.0,6.0
21130,관악구,관악구청 [21130],1303.0,4270.9,5573.9,10.0
21132,관악구,봉원중학교.행운동우성아파트 [21132],2739.6,1238.9,3978.5,11.0
21133,관악구,관악푸르지오아파트 [21133],1672.8,1252.1,2924.9,10.0
21136,관악구,성현동동아아파트 [21136],1564.7,1610.3,3175.1,10.0
21138,관악구,봉천사거리.봉천중앙시장 [21138],442.2,973.7,1415.9,3.0
21142,관악구,신림중.삼성고.관악문화관도서관 [21142],422.2,1126.5,1548.7,10.0
21143,관악구,서울산업정보학교.삼성교 [21143],1036.7,2271.4,3308.1,10.0
21145,관악구,영광메디컬센터 [21145],1700.1,840.4,2540.5,9.0
21149,관악구,패션문화의거리입구 [21149],3453.4,1982.7,5436.1,12.0
21150,동작구,보라매공원.보라매병원 [21150],1906.8,1310.3,3217.0,8.0
21152,관악구,패션문화의거리입구 [21152],1666.0,2125.0,3791.0,10.0
21157,관악구,대학동고시촌입구 [21157],2997.3,1862.0,4859.3,10.0
21159,관악구,관악산입구.관악문화관도서관 [21159],1025.6,423.9,1449.5,10.0
21161,관악구,사당역4번출구 [21161],8.2,966.8,975.0,3.0
21169,관악구,삼성산성지 [21169],27.9,261.7,289.6,5.0
21170,관악구,산장아파트 [21170],136.7,589.6,726.2,5.0
21172,금천구,산복터널.관악산휴먼시아2단지 [21172],72.6,607.3,679.9,3.0
21173,금천구,산복터널.관악산휴먼시아2단지 [21173],426.2,99.0,525.2,4.0
21174,금천구,삼성산주공아파트 [21174],473.0,296.6,769.6,6.0
21175,관악구,산장아파트 [21175],550.4,57.2,607.7,6.0
21177,관악구,신우초등학교 [21177],579.6,209.9,789.4,6.0
21181,관악구,쑥고개 [21181],313.7,556.9,870.6,2.0
21184,관악구,생모리츠타운 [21184],295.6,250.8,546.3,2.0
21187,관악구,영락고교.영락의료과학고 [21187],238.3,367.3,605.6,2.0
21190,관악구,은천교 [21190],498.7,795.8,1294.5,5.0
21194,관악구,현대시장앞 [21194],749.8,340.1,1089.9,2.0
21196,관악구,중앙동성당앞 [21196],172.1,483.8,656.0,2.0
21200,관악구,벽산.두산아파트.서울관광고등학교 [21200],611.0,749.4,1360.5,4.0
21211,금천구,신림복지관앞 [21211],741.2,62.8,804.0,7.0
21219,금천구,신림청소년독서실.신림체육센터 [21219],738.2,992.1,1730.3,7.0
21230,동작구,롯데관악점.건강보험관악지사 [21230],1395.0,1357.8,2752.8,6.0
21236,관악구,봉현초등학교 [21236],305.8,799.8,1105.6,3.0
21242,관악구,관악드림타운북문 [21242],732.5,330.8,1063.3,3.0
21252,관악구,서울대입구역 [21252],2726.9,7287.3,10014.2,7.0
21261,관악구,관악우체국(양지병원) [21261],1313.7,1433.0,2746.7,11.0
21263,동작구,보라매삼성아파트.모자원고개 [21263],1070.6,1253.7,2324.3,9.0
21264,구로구,조원동기점 [21264],156.6,273.4,430.0,1.0
21300,동작구,우방아파트 [21300],85.0,0.6,85.6,1.0
21350,관악구,신림사거리.신림역 [21350],8444.6,3323.8,11768.3,12.0
21358,구로구,신사시장.선한이웃교회 [21358],115.4,524.4,639.8,2.0
21364,구로구,조원아파트 [21364],101.1,205.8,306.9,1.0
21368,관악구,봉천사거리.위버폴리스 [21368],1798.7,2458.0,4256.7,9.0
21369,관악구,서원동승리교앞 [21369],535.0,301.0,836.0,6.0
21371,관악구,은천길입구 [21371],64.9,46.7,111.6,1.0
21376,관악구,서울대학교 [21376],154.4,343.8,498.2,5.0
21604,관악구,신림사거리.신원시장 [21604],761.7,2597.1,3358.8,4.0
21829,관악구,✈️ 신림역 [21829],,,,
21846,관악구,사당역4번출구B [21846],,,,
22101,서초구,지하철3호선교대역 [22101],538.8,790.9,1329.7,5.0
22102,서초구,서울교대사거리 [22102],224.9,127.0,351.8,3.0
22107,서초구,서울교대정문앞 [22107],444.2,540.4,984.6,2.0
22110,서초구,서울시인재개발원입구 [22110],311.3,248.0,559.3,3.0
22112,서초구,서일초등학교 [22112],945.0,738.2,1683.1,5.0
22115,서초구,롯데칠성 [22115],170.1,280.1,450.2,3.0
22116,서초구,서초포레스타2단지앞 [22116],268.1,386.7,654.8,1.0
22117,서초구,래미안에스티지에스 [22117],319.7,312.6,632.3,3.0
22118,서초구,래미안에스티지 [22118],160.4,231.9,392.4,3.0
