ARS,자치구,정류장이름,최근접지하철_거리_m,최근접역명,최근접역호선,최근접역_승하차_일평균
23120,강남구,삼정호텔 [23120],200.0,언주,9호선(연장),23045.0
23121,서초구,신논현역 [23121],87.3,신논현,신분당선(연장2),64687.0
23124,강남구,언북중학교입구 [23124],674.9,학동,7호선,45167.0
23125,강남구,제일은행.호림아트센터앞 [23125],712.2,강남구청,분당선,53823.0
23126,강남구,영동119안전센터 [23126],575.0,압구정로데오,분당선,39439.0
23128,강남구,강남구청역 [23128],118.5,강남구청,7호선,53823.0
23129,강남구,세관앞 [23129],424.4,학동,7호선,45167.0
23130,강남구,서울세관 [23130],467.5,학동,7호선,45167.0
23131,강남구,서울세관 [23131],461.7,학동,7호선,45167.0
23132,강남구,학동역 [23132],152.7,학동,7호선,45167.0
23135,강남구,강남구청역 [23135],105.9,강남구청,7호선,53823.0
23136,강남구,한국토지주택공사앞 [23136],285.9,선정릉,분당선,35720.0
23138,강남구,아크로힐스논현 [23138],390.8,선정릉,분당선,35720.0
23139,강남구,논현아이파크 [23139],490.5,언주,9호선(연장),23045.0
23140,강남구,임페리얼팰리스호텔.워터게이트빌딩 [23140],348.3,학동,7호선,45167.0
23141,강남구,임피리얼팰리스호텔워터게이트 [23141],317.7,학동,7호선,45167.0
23142,강남구,논현아이파크 [23142],463.2,언주,9호선(연장),23045.0
23143,강남구,국민은행논현동지점 [23143],341.3,언주,9호선(연장),23045.0
23147,강남구,서울세관사거리 [23147],286.8,학동,7호선,45167.0
23148,강남구,현대아파트 [23148],240.4,압구정,3호선,63654.0
23149,강남구,✈️ 압구정역 [23149],271.2,압구정,3호선,63654.0
23151,강남구,신사동교회 [23151],721.0,학동,7호선,45167.0
23152,강남구,도산공원.호림아트센터앞 [23152],696.4,압구정,3호선,63654.0
23156,강남구,압구정파출소 [23156],421.7,압구정로데오,분당선,39439.0
23157,강남구,압구정파출소 [23157],407.5,압구정로데오,분당선,39439.0
23158,강남구,✈️ 갤러리아백화점 [23158],129.5,압구정로데오,분당선,39439.0
23159,강남구,✈️ 갤러리아 백화점 [23159],127.9,압구정로데오,분당선,39439.0
23162,강남구,도산공원 [23162],649.5,압구정,3호선,63654.0
23163,강남구,신구중학교 [23163],475.2,압구정,3호선,63654.0
23165,강남구,청담초등학교 [23165],409.9,압구정로데오,분당선,39439.0
23166,강남구,청담동주민센터 [23166],680.1,청담,7호선,38360.0
23167,강남구,✈️ 프리마호텔 [23167],596.5,청담,7호선,38360.0
23168,강남구,✈️ 리베라호텔 [23168],429.5,청담,7호선,38360.0
23169,강남구,영동교입구 [23169],413.1,청담,7호선,38360.0
23170,강남구,청담역.경기고교 [23170],306.2,청담,7호선,38360.0
23171,강남구,우리은행청담지점.청담삼익아파트 [23171],365.9,청담,7호선,38360.0
23173,강남구,진흥아파트 [23173],111.5,청담,7호선,38360.0
23174,강남구,청담천주교회 [23174],356.1,청담,7호선,38360.0
23175,강남구,청담2치안센터 [23175],607.6,청담,7호선,38360.0
23176,강남구,강남구청.강남세무서 [23176],544.1,청담,7호선,38360.0
23177,강남구,청담동래미안아파트 [23177],155.0,강남구청,7호선,53823.0
23178,강남구,강남구청역 [23178],116.7,강남구청,분당선,53823.0
23179,강남구,✈️ 프리마호텔 [23179],639.8,청담,7호선,38360.0
23180,강남구,농협앞 [23180],498.9,압구정로데오,분당선,39439.0
23182,강남구,청담초등학교앞 [23182],414.4,압구정로데오,분당선,39439.0
23183,강남구,청담2치안센터 [23183],629.6,청담,7호선,38360.0
23186,강남구,진흥아파트청담역 [23186],113.3,청담,7호선,38360.0
23187,강남구,청담역.경기고교 [23187],278.8,청담,7호선,38360.0
23190,강남구,봉은사.코엑스북문 [23190],125.1,봉은사,9호선(연장),48701.0
23193,강남구,봉은사역5번출구.광동한방병원 [23193],174.5,봉은사,9호선(연장),48701.0
23194,강남구,노블발렌티웨딩홀 [23194],404.1,봉은사,9호선(연장),48701.0
23196,강남구,강남경찰서면허시험장 [23196],261.5,삼성,수도권 광역급행철도,107333.0
23197,강남구,삼성역7번출구 [23197],247.9,봉은사,9호선(연장),48701.0
23199,강남구,무역센터 [23199],221.5,삼성(무역센터),2호선,107333.0
23200,강남구,강남보건소.강남구립국제교육원 [23200],193.6,강남구청,7호선,53823.0
23202,강남구,포스코사거리 [23202],614.3,삼성(무역센터),2호선,107333.0
